Iris:setosa,Sepal:43:55,SepalW:28:36,Petal:1:3,PetalW:01:09
Iris:setosa,Sepal:43:55,SepalW:28:36,Petal:1:3,PetalW:01:09
Iris:setosa,Sepal:43:55,SepalW:28:36,Petal:1:3,PetalW:01:09
Iris:setosa,Sepal:43:55,SepalW:28:36,Petal:1:3,PetalW:01:09
Iris:setosa,Sepal:43:55,SepalW:36:44,Petal:1:3,PetalW:01:09
Iris:setosa,Sepal:43:55,SepalW:36:44,Petal:1:3,PetalW:01:09
Iris:setosa,Sepal:43:55,SepalW:28:36,Petal:1:3,PetalW:01:09
Iris:setosa,Sepal:43:55,SepalW:28:36,Petal:1:3,PetalW:01:09
Iris:setosa,Sepal:43:55,SepalW:28:36,Petal:1:3,PetalW:01:09
Iris:setosa,Sepal:43:55,SepalW:28:36,Petal:1:3,PetalW:01:09
Iris:setosa,Sepal:43:55,SepalW:36:44,Petal:1:3,PetalW:01:09
Iris:setosa,Sepal:43:55,SepalW:28:36,Petal:1:3,PetalW:01:09
Iris:setosa,Sepal:43:55,SepalW:28:36,Petal:1:3,PetalW:01:09
Iris:setosa,Sepal:43:55,SepalW:28:36,Petal:1:3,PetalW:01:09
Iris:setosa,Sepal:55:67,SepalW:36:44,Petal:1:3,PetalW:01:09
Iris:setosa,Sepal:55:67,SepalW:36:44,Petal:1:3,PetalW:01:09
Iris:setosa,Sepal:43:55,SepalW:36:44,Petal:1:3,PetalW:01:09
Iris:setosa,Sepal:43:55,SepalW:28:36,Petal:1:3,PetalW:01:09
Iris:setosa,Sepal:55:67,SepalW:36:44,Petal:1:3,PetalW:01:09
Iris:setosa,Sepal:43:55,SepalW:36:44,Petal:1:3,PetalW:01:09
Iris:setosa,Sepal:43:55,SepalW:28:36,Petal:1:3,PetalW:01:09
Iris:setosa,Sepal:43:55,SepalW:36:44,Petal:1:3,PetalW:01:09
Iris:setosa,Sepal:43:55,SepalW:36:44,Petal:1:3,PetalW:01:09
Iris:setosa,Sepal:43:55,SepalW:28:36,Petal:1:3,PetalW:01:09
Iris:setosa,Sepal:43:55,SepalW:28:36,Petal:1:3,PetalW:01:09
Iris:setosa,Sepal:43:55,SepalW:28:36,Petal:1:3,PetalW:01:09
Iris:setosa,Sepal:43:55,SepalW:28:36,Petal:1:3,PetalW:01:09
Iris:setosa,Sepal:43:55,SepalW:28:36,Petal:1:3,PetalW:01:09
Iris:setosa,Sepal:43:55,SepalW:28:36,Petal:1:3,PetalW:01:09
Iris:setosa,Sepal:43:55,SepalW:28:36,Petal:1:3,PetalW:01:09
Iris:setosa,Sepal:43:55,SepalW:28:36,Petal:1:3,PetalW:01:09
Iris:setosa,Sepal:43:55,SepalW:28:36,Petal:1:3,PetalW:01:09
Iris:setosa,Sepal:43:55,SepalW:36:44,Petal:1:3,PetalW:01:09
Iris:setosa,Sepal:55:67,SepalW:36:44,Petal:1:3,PetalW:01:09
Iris:setosa,Sepal:43:55,SepalW:28:36,Petal:1:3,PetalW:01:09
Iris:setosa,Sepal:43:55,SepalW:28:36,Petal:1:3,PetalW:01:09
Iris:setosa,Sepal:55:67,SepalW:28:36,Petal:1:3,PetalW:01:09
Iris:setosa,Sepal:43:55,SepalW:28:36,Petal:1:3,PetalW:01:09
Iris:setosa,Sepal:43:55,SepalW:28:36,Petal:1:3,PetalW:01:09
Iris:setosa,Sepal:43:55,SepalW:28:36,Petal:1:3,PetalW:01:09
